7214,7317,134,0.001
8878,9133,123,0.001
7073,7340,189,0.002
5412,5606,136,0.001
1909,1995,141,0.001
7718,7996,147,0.001
7877,8107,216,0.002
3293,3512,158,0.002
5730,5992,127,0.001
4654,4872,115,0.001
3266,3383,130,0.001
6840,7002,132,0.001
6860,6963,120,0.001
4381,4471,112,0
3716,3875,125,0.001
3358,3706,221,0.001
6914,7377,175,0.001
4783,5076,142,0.001
9369,9741,243,0.001
4990,5194,105,0.001
4769,4906,160,0.001
1616,1896,150,0.001
6265,6427,98,0.001
9188,9566,156,0.001
880,955,122,0.001
4637,4741,156,0.001
308,733,133,0.002
1051,1798,141,0.001
5783,6276,177,0.002
315,668,154,0
1895,2048,149,0.001
3534,3705,155,0.001
9756,9826,123,0.001
8006,8369,184,0.001
1459,1588,135,0.001
7415,7697,190,0.002
7600,7817,195,0.002
7465,7626,152,0.001
9283,9417,161,0.001
4328,4706,210,0.001
5304,5476,178,0.001
8430,8594,121,0.001
5307,5462,121,0.002
2529,2595,108,0.001
7873,8068,131,0.001
6713,6920,167,0.001
1585,2025,176,0.001
8649,8887,172,0.002
389,483,137,0.001
4213,4299,125,0.001
4741,4909,159,0.001
9788,9976,152,0.001
1858,2003,135,0
7963,8528,180,0.001
8590,8839,133,0.001
5656,5956,190,0.001
3580,3621,94,0.001
6902,7072,178,0.001
4405,4701,218,0.001
9078,9185,104,0
7116,7239,129,0.001
9379,9563,178,0.001
2260,2464,200,0.001
7436,7717,215,0.001
1753,1893,179,0.001
1169,1744,176,0.001
1868,2051,135,0.001
9567,9699,116,0.002
731,873,116,0.001
2797,2871,115,0.001
1015,1244,151,0.001
4897,4993,157,0.001
9456,9607,123,0.001
6106,6237,113,0.002
3597,3705,100,0.001
7543,7654,156,0.001
3215,3387,153,0.001
2899,2967,126,0.001
9781,9985,170,0.001
7051,7204,139,0.001
5699,6080,130,0.002
5036,5140,114,0.001
1721,1933,139,0.001
2280,2588,176,0.001
2597,2891,146,0.001
2507,2601,130,0.001
1493,1620,135,0.001
1344,1447,171,0.001
89,225,250,0.001
635,797,168,0.001
256,414,200,0.001
3486,3533,102,0.001
6172,6313,127,0
5157,5488,155,0.001
5557,5832,131,0.001
3082,3168,145,0
5752,6144,265,0.001
6162,6257,115,0.001
1718,1851,159,0.001
6164,6407,165,0.001
